Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts
Journalism,22,High School,Low,4.7,Easy,Fair,Male,UK,Entertainment Journalism, Entertainment Journalism,, Food Science and Technology, Political Anthropology, Supply Chain Analytics, Information Theory, Time Series Analysis, Social Studies and Cultural Awareness, Financial Statement Analysis,, Journalism and News Writing, Food Toxicology,,, Gender and Health, Geochemistry, Community Health, Front Office Operations, Musicology, Artificial Intelligence and Machine Learning in Information Systems, International Negotiations and Diplomacy, Globalization and Its Impact on International Relations, Business Journalism, Business Law, Neurolinguistics, Sustainable Supply Chain Management, Innovation and Entrepreneurship, Visual Communication, Visual Communication, Public Administration and Technology, Public Health Surveillance, Social Stigma and Mental Health, Sports Performance Testing and Assessment, Ceramic Art
Writing,25,College,Medium,4.5,Medium,Fair,Female,UK,Research and Citation Skills, Research and Citation Skills,, Agribusiness Management, Environmental Anthropology, Financial Analytics, Multimedia Communication, Dimensionality Reduction, Health and Nutrition Education, Taxation and Tax Planning,, Writing for Social Media, Food Regulations and Compliance,,, Transgender Studies, Paleontology, Chronic Disease Management, Housekeeping and Facilities Management, Theatre and Performance Studies, Data Analytics and Visualization, Emerging Markets and International Business, International Law and Norms, Political Journalism, Intellectual Property Law, Computational Linguistics, Risk Management in Supply Chain, Risk Management, Media Production and Editing, Media Production and Editing, Public Service Delivery and Citizen Engagement, Health Equity and Social Determinants of Health, Social Connectedness and Resilience, Sports Rehabilitation and Recovery, Fiber Arts
Food Science,29,High School,High,3.9,Easy,Fair,Male,Australia,Food Fermentation, Food Fermentation,, Agricultural Extension and Education, Psychological Anthropology, Marketing Analytics, Social Media and Communication, Cluster Analysis, Fine Motor Skills and Handwriting, Financial Modeling and Valuation,, Screenwriting, Food Biotechnology,,, Gender and Social Movements, Geochronology, Aging and Gerontology, Customer Service in Hospitality, Visual Arts, IT Project Management, International Entrepreneurship, Regional and Area Studies, International Journalism, Employment Law, Discourse Analysis, Supply Chain Analytics and Optimization, Performance Management, Advertising and Public Relations, Advertising and Public Relations, Public Policy Implementation, Community Health Assessment, Social Support Interventions, Sports Physiology, Graphic Design
Performing Arts,26,High School,Medium,3.8,Medium,Good,Male,Australia,Media Studies, Media Studies,, Agricultural Policy and Development, Ethnohistory, Operations Analytics, Human-Computer Interaction, Reinforcement Learning, Outdoor and Nature Exploration, Derivatives and Risk Hedging,, Playwriting, Food Sensory Science,,, Gender and Development, Economic Geology, Occupational Health and Safety, Hospitality Financial Management, Comparative Literature, IT Service Management, Multinational Operations and Management, Environmental Politics and Sustainability, Science and Health Journalism, Environmental Law, Corpus Linguistics, Strategic Sourcing and Procurement, Conflict Resolution and Negotiation, Media and Society, Media and Society, Public Administration and Nonprofit Management, Health Communication and Behavior Change, Social Networks and Health Promotion, Sports Psychology and Mental Skills Training, Illustration
Business Analytics,27,College,Medium,3.8,Medium,Good,Male,Canada,Financial Analytics, Financial Analytics,, Agricultural Marketing and Supply Chain Management, Visual Anthropology, Risk Analytics, Digital Signal Processing, Text Mining, Technology and Digital Literacy, Corporate Governance and Ethics in Finance,, Writing for Children, Food Allergies and Intolerances,,, Gender and Violence, Environmental Geology, Health Psychology, Sustainability in Hospitality, Classics and Ancient Studies, Knowledge Management Systems, International Economic Policies and Trade Agreements, Media and Communication in International Relations, Entertainment Journalism, Human Rights Law, Contrastive Linguistics, Last-Mile Delivery and Logistics, Decision Making and Problem Solving, Media and Politics, Media and Politics, Public Health Administration, Public Health Ethics, Social Epidemiology, Sports Nutrition for Performance Enhancement, Typography
Anthropology,19,College,High,3.8,Easy,Fair,Male,Canada,Urban Anthropology, Urban Anthropology,, Agricultural Sustainability and Conservation, Gender and Sexuality Studies, Fraud Detection and Prevention, Mobile App Development, Image Recognition, Communication and Language Skills, Personal Finance and Financial Literacy,, Writing for Young Adults, Food Sensory Evaluation,,, Feminist Activism, Engineering Geology, Complementary and Alternative Medicine, Human Resource Management in Hospitality, Media and Communication Studies, Social Media and Collaboration Technologies, Cultural Intelligence in International Business, Migration and Refugee Studies, Ethics in Journalism, Legal Ethics, Applied Linguistics, Supply Chain Information Systems, Team Building and Team Management, Media Psychology, Media Psychology, Environmental Policy and Administration, Emergency Preparedness and Response, Social Influence on Health Decisions, Exercise and Health Promotion, Film and Video Art
Public Health,22,High School,High,3.7,Easy,Fair,Male,UK,Health Informatics, Health Informatics,, Integrated Pest Management, Indigenous Studies, Social Media Analytics, Virtual Reality and Augmented Reality, Anomaly Detection, Problem-Solving and Critical Thinking, Islamic Finance,, Editing and Proofreading, Food Additives and Ingredients,,, Gender and Technology, Geophysics, Women's Health, Strategic Management in Hospitality, Ethical Studies, Human-Computer Interaction, International Risk Management, Gender and International Relations, Media Law and Regulations, Comparative Law, Sociolinguistic Variation, Supply Chain Collaboration and Integration, Corporate Social Responsibility, Media Literacy, Media Literacy, Urban and Regional Planning, Chronic Disease Prevention and Control, Social Cohesion and Health, Sports Technology and Wearables, Art History
Social Work,26,High School,Low,5.0,Medium,Good,Male,India,Social Isolation and Loneliness, Social Isolation and Loneliness,, Agricultural Risk Management, Anthropology of Religion, Sentiment Analysis, Web Development and Design, Feature Engineering, Pre-writing and Pre-reading Skills, Financial Econometrics,, Research and Citation Skills, Food Fermentation,,, LGBTQ+ Studies, Glaciology, Men's Health, Cultural Diversity and Inclusion in Hospitality, Postcolonial Studies, Emerging Technologies in Information Systems, International Business Analytics, Terrorism and Counterterrorism, Journalism and Social Media, Legal Theory, Language Documentation and Preservation, Supply Chain Network Design, Knowledge Management, Media Convergence, Media Convergence, Comparative Public Administration, Health Informatics, Social Engagement and Aging, Sports Coaching and Athlete Development, Art Criticism
Sports Science,29,High School,Low,4.8,Easy,Good,Male,US,Performance Analysis in Sports, Performance Analysis in Sports,, Precision Agriculture, Migration and Diaspora Studies, Decision Support Systems, Network Protocols, Model Evaluation and Validation, Self-help Skills and Independence, Mergers and Acquisitions,, Writing for the Web, Food Sensory Analysis,,, Gender and Globalization, Remote Sensing and GIS in Geology, Health Coaching, Quality Management in Hospitality, Critical Theory, IT Strategy and Digital Transformation, Sustainability in International Business, Power Politics and Geopolitics, Journalism and Society, Legal System and Institutions, Forensic Linguistics, Performance Measurement and Metrics in Logistics, Cross-Cultural Management, Media Research Methods, Media Research Methods, Crisis Management and Emergency Response, Program Evaluation in Public Health, Social Media and Health Communication, Sports Sociology and Cultural Studies, Visual Arts Education
Media and Communication Studies,19,High School,Medium,4.3,Medium,Fair,Female,US,Social Media, Social Media,, Rural Development and Farming Systems, Anthropology of Education, Performance Measurement and Analytics, Emerging Technologies in Communication, Ethical Considerations in Data Science, Multicultural Education and Diversity Awareness, Real Estate Finance,, Writing for Publication, Food Supply Chain and Distribution,,, Gender and Cultural Representation, Geological Mapping and Fieldwork, Wellness Program Development, Innovation and Technology in Hospitality, Interdisciplinary Humanities, Ethical and Legal Issues in Information Systems, Digital Transformation in Global Markets, Emerging Issues in International Relations, Journalism Ethics and Professional Standards, Alternative Dispute Resolution, Cognitive Linguistics, Ethical and Social Responsibility in Supply Chain, Quality Management, Media and Cultural Studies, Media and Cultural Studies, Social Equity and Inclusion in Public Administration, Public Health Advocacy and Policy, Social Policy and Health Outcomes, Sports Ethics and Sportsmanship, Art Exhibitions and Curation
Social Work,19,College,High,4.5,Easy,Good,Female,Australia,Social Influence on Health Decisions, Social Influence on Health Decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geology,18,High School,Low,4.9,Medium,Good,Male,Canada,Volcanology, Volcanology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,24,High School,High,3.6,Easy,Good,Male,UK,"Painting (Oil, Acrylic, Watercolor)"," Painting (Oil, Acrylic, Watercolor)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology,22,High School,Low,4.1,Easy,Fair,Male,Canada,Anthropology of Religion, Anthropology of Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,18,High School,Medium,3.7,Easy,Fair,Female,India,Operations Management, Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,21,College,Medium,4.8,Easy,Fair,Male,US,Social Networks and Health Promotion, Social Networks and Health Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Science,25,College,Low,4.3,Medium,Fair,Female,Australia,Food Supply Chain and Distribution, Food Supply Chain and Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,29,High School,Medium,4.2,Easy,Fair,Male,UK,Applied Linguistics, Applied Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,29,College,High,4.5,Easy,Good,Male,US,Literature Studies, Literature Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalism,29,College,High,3.9,Medium,Good,Female,India,Science and Health Journalism, Science and Health Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,28,High School,Low,4.2,Medium,Good,Female,India,Model Evaluation and Validation, Model Evaluation and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,29,High School,Medium,4.5,Medium,Good,Male,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,21,High School,Low,3.9,Easy,Good,Male,India,Fiber Arts, Fiber Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,19,High School,High,4.4,Medium,Fair,Male,India,Installation Art, Installation Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geology,27,High School,Medium,4.6,Medium,Good,Female,US,Volcanology, Volcanology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,18,College,Medium,3.9,Medium,Good,Female,Canada,"Painting (Oil, Acrylic, Watercolor)"," Painting (Oil, Acrylic, Watercolor)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,22,High School,High,4.4,Medium,Fair,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,29,College,Low,3.8,Easy,Good,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,22,College,Low,4.1,Easy,Good,Male,UK,Computational Linguistics, Computational Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,22,High School,Low,4.8,Easy,Good,Female,UK,Real Estate Finance, Real Estate Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,28,College,High,4.8,Medium,Good,Female,UK,Pragmatics, Pragmatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,27,College,Low,3.9,Easy,Fair,Male,Australia,Cluster Analysis, Cluster Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,29,High School,Low,5.0,Easy,Good,Male,India,Social Stigma and Mental Health, Social Stigma and Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,21,High School,Low,4.0,Easy,Fair,Female,US,Art History, Art History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,25,High School,High,4.2,Medium,Good,Female,Canada,Horticulture, Horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performing Arts,19,College,Medium,3.5,Easy,Good,Female,India,Media and Politics, Media and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Wellness,18,College,Low,4.4,Easy,Good,Male,US,Health Promotion and Education, Health Promotion and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business,23,High School,Low,4.5,Medium,Good,Male,India,International Marketing, International Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Studies,28,High School,High,4.7,Medium,Fair,Female,India,Constitutional Law, Constitutional Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalism,28,College,Medium,4.8,Easy,Good,Male,US,Journalism Ethics and Professional Standards, Journalism Ethics and Professional Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,18,College,High,4.1,Medium,Good,Female,UK,Mergers and Acquisitions, Mergers and Acquisitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,29,High School,Medium,4.4,Easy,Good,Male,Australia,Machine Learning, Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,19,High School,High,3.6,Medium,Good,Female,Canada,Comparative Literature, Comparative Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Science,18,High School,High,4.8,Easy,Fair,Female,Canada,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing,23,College,Low,4.1,Easy,Good,Male,UK,Sentence Structure and Syntax, Sentence Structure and Syntax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistics and Supply Chain Management,29,High School,Low,4.4,Medium,Fair,Male,Australia,Strategic Sourcing and Procurement, Strategic Sourcing and Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Administration,29,High School,Low,4.4,Easy,Good,Male,Canada,Organizational Theory and Behavior in Public Administration, Organizational Theory and Behavior in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,29,College,Low,4.2,Medium,Fair,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,28,College,High,4.6,Easy,Fair,Male,US,Phonetics and Phonology, Phonetics and Phonology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Science,29,High School,Low,4.5,Easy,Fair,Male,Australia,Food Packaging and Shelf Life, Food Packaging and Shelf Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,25,College,High,4.3,Easy,Good,Female,UK,Anomaly Detection, Anomaly Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,24,High School,High,4.9,Medium,Good,Female,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,26,College,Low,3.7,Medium,Good,Male,UK,Change Management, Change Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing,22,College,High,3.7,Easy,Good,Female,UK,Creative Writing, Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geology,22,High School,Low,4.6,Easy,Good,Male,Australia,Structural Geology, Structural Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,28,College,High,4.3,Easy,Fair,Female,Canada,Horticulture, Horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,29,College,Low,4.5,Easy,Fair,Male,Australia,Social Stigma and Mental Health, Social Stigma and Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Wellness,21,College,Low,3.6,Easy,Fair,Male,India,Community Health, Community Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications Technology,22,High School,Low,4.4,Easy,Fair,Male,US,Internet of Things (IoT), Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,28,College,Medium,4.8,Medium,Good,Female,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing,26,College,Medium,4.6,Easy,Good,Female,US,Playwriting, Playwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,21,College,High,4.2,Easy,Fair,Male,Australia,Mixed Media, Mixed Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,29,College,High,4.4,Easy,Good,Female,India,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Arts,25,High School,High,4.0,Easy,Fair,Female,UK,Ceramic Art, Ceramic Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Science,19,College,Low,4.3,Easy,Good,Male,US,Exercise Physiology, Exercise Physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,24,College,Low,3.7,Medium,Fair,Male,Canada,Social Connectedness and Resilience, Social Connectedness and Resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,22,High School,Medium,4.8,Easy,Good,Female,Canada,Operations Management, Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalism,28,High School,High,4.8,Medium,Good,Female,India,Opinion Writing and Editorial Journalism, Opinion Writing and Editorial Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications Technology,29,College,High,4.9,Easy,Good,Male,India,Cloud Computing, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Administration,25,High School,Low,4.2,Medium,Good,Female,UK,Public Policy Implementation, Public Policy Implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing,29,College,Low,3.6,Easy,Fair,Female,UK,Technical Writing, Technical Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Administration,22,College,Medium,4.7,Medium,Good,Male,Australia,Public Policy Analysis, Public Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business,25,College,Low,3.9,Easy,Fair,Female,UK,International Economic Policies and Trade Agreements, International Economic Policies and Trade Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,21,College,High,4.6,Easy,Fair,Female,Canada,Cognitive Linguistics, Cognitive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,25,High School,Low,3.9,Medium,Good,Female,Australia,Cluster Analysis, Cluster Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Education,23,College,High,3.5,Easy,Fair,Male,India,Fine Motor Skills and Handwriting, Fine Motor Skills and Handwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,18,College,Low,3.7,Easy,Good,Male,US,Comparative Literature, Comparative Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Systems,21,High School,Low,3.9,Easy,Fair,Male,UK,Social Media and Collaboration Technologies, Social Media and Collaboration Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,21,College,Low,3.8,Medium,Good,Male,Australia,Social Capital and Health, Social Capital and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Systems,19,College,Medium,4.2,Easy,Fair,Male,US,Web Development and E-commerce, Web Development and E-commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,23,College,Medium,3.9,Medium,Good,Male,India,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Administration,27,High School,Medium,3.7,Medium,Good,Female,UK,Public Health Administration, Public Health Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Studies,23,College,High,3.7,Medium,Fair,Male,US,Legal System and Institutions, Legal System and Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,26,College,Medium,4.1,Easy,Fair,Male,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistics,24,College,High,4.1,Easy,Fair,Female,UK,Pragmatics, Pragmatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications Technology,29,College,Low,4.8,Medium,Good,Female,US,Virtual Reality and Augmented Reality, Virtual Reality and Augmented Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Science,25,High School,High,3.9,Medium,Fair,Male,Australia,Sports Psychology and Mental Skills Training, Sports Psychology and Mental Skills Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,28,College,Medium,3.7,Medium,Fair,Female,Australia,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Education,18,High School,High,4.5,Medium,Fair,Female,US,Health and Nutrition Education, Health and Nutrition Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,24,College,Low,4.7,Easy,Fair,Male,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
